movie,year,rating,genre,runtime_min,imdb,metascore,votes,n_imdb
Escape from New York,1981,R,"['Action', ' Adventure', ' Sci-Fi']",99,7.1,76,144193,71.0
The Abyss,1989,PG-13,"['Adventure', ' Drama', ' Mystery']",140,7.5,62,179018,75.0
Spy Kids,2001,PG,"['Action', ' Adventure', ' Comedy']",88,5.6,71,118719,56.0
Mars Attacks!,1996,PG-13,"['Comedy', ' Sci-Fi']",106,6.4,52,229334,64.0
The Giver,2014,PG-13,"['Drama', ' Romance', ' Sci-Fi']",97,6.4,47,120303,64.0
Moon,2009,R,"['Drama', ' Mystery', ' Sci-Fi']",97,7.8,67,360285,78.0
Love and Monsters,2020,PG-13,"['Action', ' Adventure', ' Comedy']",109,6.9,63,128209,69.0
Planet of the Apes,2001,PG-13,"['Action', ' Adventure', ' Sci-Fi']",119,5.7,50,220923,57.0
I Am Number Four,2011,PG-13,"['Action', ' Adventure', ' Sci-Fi']",111,6.1,36,238945,61.0
Brightburn,2019,R,"['Drama', ' Horror', ' Mystery']",90,6.1,44,99040,61.0
Hellboy,2019,R,"['Action', ' Adventure', ' Fantasy']",120,5.2,31,91196,52.0
Titane,2021,R,"['Drama', ' Horror', ' Sci-Fi']",108,6.6,75,46055,66.0
Resident Evil,2002,R,"['Action', ' Horror', ' Sci-Fi']",100,6.6,33,272937,66.0
The Matrix Reloaded,2003,R,"['Action', ' Sci-Fi']",138,7.2,62,595615,72.0
Overlord,2018,R,"['Action', ' Horror', ' Sci-Fi']",110,6.6,60,100070,66.0
Men in Black 3,2012,PG-13,"['Action', ' Adventure', ' Comedy']",106,6.8,58,364718,68.0
Fantastic Four,2015,PG-13,"['Action', ' Adventure', ' Sci-Fi']",100,4.3,27,168228,43.0
